Date,Votes,Clicks,News,Comments,TopVotesId,TopVotesNumber,TopClicksId,TopClicksNumber,TopCommentsId,TopCommentsNumber
2013-05-28,34357,338738,48,4056,1931051,2192,1932621,944,1928400,386
2013-05-29,30444,204480,35,2574,1931728,2212,1933749,1040,1931728,223
2013-01-28,31296,275407,39,2564,1822844,2014,1826299,495,1824323,167
2013-01-29,48696,425632,59,4616,1822852,2616,1827409,975,1825358,307
2013-01-26,26845,240144,26,2235,1823552,2658,1824545,1467,1822188,194
2013-01-27,26937,250905,32,2213,1816551,2685,1825484,916,1822154,151
2013-01-24,26357,195202,31,2013,1821405,2033,1822432,530,1820149,255
2013-01-25,23079,138188,23,1768,1822889,1970,1823850,178,1809417,198
2013-01-22,33221,254709,38,2001,1819084,3358,1820402,395,1819084,222
2013-01-23,58985,402180,54,4176,1820168,3259,1821730,481,1808069,285
2013-01-20,39178,192745,34,2277,1817477,2544,1818338,958,1811927,362
2013-01-21,62824,411242,57,4317,1818307,2349,1819732,344,1817668,259
2012-12-28,37385,357203,45,3384,1798575,2459,1798838,247,1797072,179
2012-12-29,25360,259262,32,2526,1798802,1904,1799447,328,1798111,313
2012-12-26,20114,243146,26,1534,1794442,2930,1797269,322,1794442,223
2012-12-27,27758,162137,31,2464,1796256,2709,1798004,218,1796256,238
2012-12-24,21204,145125,27,1914,1794533,1814,1796212,323,1794990,203
2012-12-25,19444,179389,24,1343,1795949,1623,1796609,632,1785948,132
2012-12-22,23639,117832,24,1389,1794159,1871,1795142,1238,1793782,147
2012-12-23,18740,156563,19,1518,1794248,2861,1795764,1557,1794248,187
2012-12-20,43573,301016,44,3166,1791375,3186,1793491,1634,1789943,228
2012-12-21,26287,234531,31,2167,1793068,1738,1794415,450,1792742,269
2013-04-14,19814,153343,23,1405,1892087,1768,1894242,380,1892087,287
2013-04-15,35913,321033,45,3199,1894182,2110,1895086,1052,1892629,199
2013-04-16,38451,292396,43,4104,1895177,2795,1896298,559,1887521,465
2013-04-17,27891,226510,33,3173,1895963,1992,1897027,331,1891082,500
2013-04-10,51075,393744,51,4629,1889779,3578,1891029,767,1887876,237
2013-04-11,32331,201914,34,2970,1888006,1791,1891752,904,1888960,374
2013-04-12,21584,225841,26,1831,1891622,1885,1892563,454,1890888,190
2013-04-13,27282,186021,29,2248,1892885,2739,1893568,182,1891409,263
2013-04-18,35654,269473,37,3289,1896785,3713,1898220,998,1896785,398
2013-04-19,29116,203969,33,2789,1898590,2115,1899103,596,1897961,197
2012-10-19,29555,190801,34,2995,1738678,2096,1740828,859,1728120,268
2012-10-18,41247,290537,47,4021,1737709,2346,1740015,590,1734675,499
2012-10-11,31054,272857,34,2409,1732552,2602,1734221,634,1733761,174
2012-10-10,32055,268325,32,3025,1731091,2167,1733210,1257,1724566,477
2012-10-13,18828,134036,21,1942,1733929,1876,1735672,887,1732060,500
2012-10-12,24040,223786,30,3302,1732499,1518,1735235,790,1731145,420
2012-10-15,36220,311177,41,2847,1736721,3650,1736721,3650,1733034,261
2012-10-14,20984,156695,20,1425,1734346,2333,1736077,792,1734346,210
2012-10-17,35143,233358,40,2935,1729464,1573,1738632,865,1737665,179
2012-10-16,33808,264272,36,2861,1733872,2342,1737539,1163,1737266,218
2013-06-18,37387,304269,43,2707,1949915,2637,1951161,522,1950189,167
2013-06-19,28783,211038,36,2428,1950963,2117,1951992,260,1950943,197
2013-06-12,28220,279515,39,2332,1945191,1899,1945971,268,1939204,162
2013-06-13,29046,246917,39,2912,1942707,2285,1947168,187,1941779,280
2013-06-10,44975,262827,38,3383,1941890,11559,1944010,318,1941890,336
2013-06-11,39514,288863,47,3086,1944167,1945,1944963,714,1942470,166
2013-06-16,17555,88183,18,1020,1947316,2356,1949144,1310,1945275,120
2013-06-17,44812,312833,49,3569,1949951,2290,1950206,278,1947181,202
2013-06-14,32038,254433,32,3316,1946755,2604,1947991,321,1938422,308
2013-06-15,19103,128850,26,1557,1945542,2689,1948747,1107,1947018,172
2012-09-29,38055,242680,32,2529,1722556,2549,1724161,1240,1722132,215
2012-09-28,45661,324460,42,3228,1721076,2161,1723229,933,1722125,205
2012-09-25,40453,312769,46,2515,1719779,2716,1720338,616,1719779,135
2012-09-24,11583,86346,13,745,1718414,1947,1719140,721,1718407,79
2012-09-27,71958,341322,59,3632,1720978,3141,1722361,556,1720174,265
2012-09-26,65627,486727,58,4211,1720526,3663,1721447,1449,1720400,338
2013-04-02,29478,275496,35,2361,1876797,1783,1883190,959,1875713,183
2012-09-23,237,11412,1,28,1718441,237,1718441,237,1718441,28
2013-03-11,42507,409043,43,4124,1860558,3788,1864862,1311,1860558,500
2013-03-10,15902,119801,20,1209,1863722,1579,1864117,979,1862981,136
2013-03-13,33147,250776,41,3162,1865145,2463,1867386,304,1866059,254
2013-05-21,48979,230468,54,3528,1923894,2439,1926961,1819,1923894,314
2013-03-15,38063,309539,46,3456,1866459,2452,1868883,239,1867807,225
2013-03-14,25561,185636,32,3492,1866855,1681,1868312,776,1867611,388
2013-06-08,18436,147916,23,2498,1938831,2162,1942613,1085,1938831,304
2013-06-09,17978,100412,18,1497,1941517,2635,1942995,1067,1941517,212
2013-03-17,18418,220918,24,1958,1869101,1925,1870154,581,1867177,253
2013-06-01,22353,187433,27,1856,1935776,1806,1936695,1777,1932049,174
2013-06-02,25484,180507,29,1853,1935813,2463,1937401,1067,1934940,202
2013-03-16,18865,125334,22,1211,1867959,2690,1869545,1143,1869010,135
2013-06-04,36621,262988,42,2551,1938252,4467,1938869,1808,1938252,163
2013-06-05,27924,176044,33,2249,1927914,2014,1940096,995,1938794,207
2013-06-06,43494,418170,47,3380,1939134,2147,1941132,943,1939887,206
2013-06-07,20088,204541,25,1880,1937418,1891,1942144,857,1941060,230
2013-01-07,36404,239568,38,2801,1802973,2490,1805819,899,1801360,238
2013-01-06,21669,256819,30,1776,1802346,2051,1804995,372,1801375,133
2013-01-05,22538,265618,32,2352,1804063,2363,1804107,358,1804063,242
2013-01-04,19088,252682,29,1819,1802749,1422,1803650,360,1800495,241
2013-01-03,29876,229801,29,2235,1801546,3280,1802715,539,1799709,288
2013-01-02,16079,184316,21,1733,1801389,2329,1801490,1184,1792735,427
2013-01-01,10306,89446,14,957,1800967,2471,1801204,588,1800802,117
2013-01-09,33378,278260,34,2409,1805545,2171,1807670,1024,1806507,215
2013-01-08,23838,211689,32,2100,1804343,1923,1806320,199,1803613,230
2013-04-29,28661,206686,30,2276,1907118,2037,1908183,412,1902773,297
2013-04-28,27724,215382,29,1780,1904992,3401,1906894,539,1904992,113
2013-04-25,43368,256310,46,4117,1903636,2438,1904361,625,1901133,500
2013-04-24,35526,291756,42,3051,1902008,2056,1903198,1569,1898893,239
2013-04-27,15494,89371,14,1114,1904546,2875,1905958,309,1903547,280
2013-04-26,30346,254522,36,2986,1905003,2743,1905259,1187,1904122,308
2013-04-21,16881,108863,23,1742,1898889,3187,1900156,738,1895833,191
2013-04-20,22910,226819,31,2133,1898186,2235,1899814,439,1898186,182
2013-04-23,15724,134011,22,1595,1901964,1841,1901986,770,1899240,190
2013-04-22,39851,353602,45,4015,1899011,2807,1901200,1192,1899011,237
2013-02-08,40977,189066,37,2456,1835874,2372,1838200,1920,1834677,228
2013-02-09,26250,147009,26,1647,1837933,2172,1838427,1363,1825641,155
2013-02-04,37441,227692,42,2385,1832779,1846,1833859,836,1831828,266
2013-02-05,52414,374960,49,3763,1830724,3415,1834568,932,1823413,500
2013-02-06,49130,327140,47,3191,1830519,3588,1835809,643,1833732,199
2013-02-07,38019,347633,38,2886,1833090,2324,1836877,224,1833427,264
2013-02-01,66927,336300,58,4609,1829404,5248,1831008,761,1828351,421
2013-02-02,43308,244612,39,2056,1830609,2989,1831965,1085,1827531,120
2013-02-03,45791,305579,36,2215,1831848,2772,1832550,938,1831848,210
2013-05-03,22767,107341,29,1640,1911628,1264,1911707,342,1910811,135
2013-05-02,21631,212804,32,2038,1909827,1297,1910864,377,1910292,146
2013-05-01,25738,171302,26,2002,1907342,3430,1909550,790,1907342,184
2013-05-07,34347,251421,37,2207,1914055,3447,1915054,342,1914055,141
2013-05-06,43957,280874,49,3472,1912846,3193,1913504,850,1908663,316
2013-05-05,20572,166161,26,1942,1910021,1393,1912616,871,1905372,253
2013-05-04,25992,163265,26,1860,1909658,2926,1912143,1414,1908628,213
2012-10-28,30817,226579,29,2466,1746843,2786,1748410,1185,1746789,213
2013-05-09,40073,265087,43,3324,1915447,3381,1916523,539,1911631,264
2013-05-08,28224,214028,36,2312,1914705,3125,1915279,1622,1914705,277
2012-10-29,35557,227585,41,2651,1748507,1974,1749025,883,1745324,182
2013-09-09,40868,210486,35,3005,2008735,3867,2009377,363,2007457,253
2013-09-08,19256,131042,20,1690,2006779,2774,2008791,966,2006779,242
2013-09-07,12054,122938,16,1585,2006636,1956,2008384,1119,2006636,319
2013-09-06,20152,277669,27,2811,2006981,1838,2007367,221,2007247,264
2013-09-05,36658,215262,32,2508,2006207,3194,2006849,967,2004307,243
2013-09-04,31114,282532,44,2747,2005332,2056,2005718,435,2004377,132
2013-09-03,27310,199955,29,1843,2004456,2337,2004862,1806,1997618,178
2013-09-02,27718,200392,31,3012,2000448,2446,2004430,1287,2002484,500
2013-09-01,15855,241216,27,1716,2002504,1583,2003780,354,1998756,146
2012-10-22,48467,372616,52,4080,1741204,2288,1742859,1594,1742307,355
2012-10-23,32613,329670,39,4135,1741664,2915,1743713,1336,1736797,482
2013-06-03,34802,185991,39,2320,1936629,3347,1938153,1213,1933939,131
2013-04-08,26620,235534,29,2004,1884487,4922,1888903,788,1887230,291
2013-05-17,40507,291971,53,3608,1922343,2385,1923946,1062,1921705,205
2013-05-16,37690,265702,46,3663,1920480,2661,1922671,775,1921503,226
2013-05-15,29414,174395,35,2133,1920954,2191,1921800,817,1913266,136
2013-05-14,25297,201560,33,2249,1919788,1821,1920877,936,1910377,178
2013-05-13,33993,240845,35,2882,1918900,3815,1919531,234,1918900,286
2013-05-12,11590,137137,20,1445,1909457,1404,1918876,238,1907731,149
2013-05-11,21689,113641,24,2075,1917436,2450,1918291,934,1913847,289
2013-05-10,39626,182688,39,3027,1917006,2757,1917369,1805,1915804,332
2013-05-19,15673,101242,17,1230,1925021,2241,1925021,2241,1922647,221
2013-05-18,18430,97723,19,1356,1923533,2400,1924330,1428,1920657,210
2013-04-09,36220,282431,45,2713,1888583,2249,1889978,1107,1885008,200
2013-01-13,24078,211389,27,2033,1809493,1981,1811408,529,1810725,156
2013-01-12,25626,215966,31,2321,1808351,1726,1810548,663,1802251,181
2013-01-11,31154,234969,32,2439,1808449,2114,1809810,734,1808206,220
